playerId,name,team,pos,age_2025,exp_2025,censored,war_2025,talent_rate,proj_seasons,remaining_WAR,rem_WAR_low,rem_WAR_high,next_season_WAR,peak_level,peak_age,career_to_date_WAR,career_total_proj
8474564,Steven Stamkos,NSH,F,36.0,18,False,1.52,1.36,3,0.7,0.1,1.4,0.62,1.0,37,36.4,37.1
8475455,Brenden Dillon,NJD,D,35.2,15,False,1.1,1.12,7,0.6,0.0,1.6,0.51,0.81,36,20.0,20.5
8479661,Tanner Jeannot,BOS,F,28.7,6,False,0.97,0.8,10,0.6,0.0,3.3,0.5,0.65,30,3.3,3.9
8484304,Uvis Balinskis,FLA,D,29.5,3,False,0.14,0.74,9,0.6,0.0,2.5,0.36,0.6,31,1.6,2.2
8475168,Matt Duchene,DAL,F,35.0,17,False,0.43,1.28,4,0.6,0.1,1.1,0.4,1.03,36,30.9,31.5
8473986,Alex Killorn,ANA,F,36.4,14,False,1.57,1.25,3,0.6,0.0,1.3,0.55,0.89,37,17.4,18.1
8481641,Joel Kiviranta,COL,F,29.9,7,False,0.53,0.81,7,0.6,0.0,1.7,0.36,0.64,31,1.9,2.5
8480806,Isac Lundestrm,CBJ,F,26.2,8,False,0.26,0.68,12,0.6,0.0,4.2,0.49,0.62,27,1.0,1.6
8484388,Daniil But,UTA,F,21.0,1,False,0.06,-0.2,15,0.6,0.0,3.0,0.02,0.37,25,0.1,0.6
8476872,Scott Laughton,LAK,F,31.7,14,False,0.17,0.82,7,0.6,0.0,2.4,0.45,0.63,33,6.4,7.0
8474641,Adam Henrique,EDM,F,36.0,16,False,0.78,1.19,3,0.6,0.0,1.3,0.51,0.82,37,18.1,18.7
8476474,Stefan Noesen,NJD,F,33.0,12,False,-0.34,1.12,5,0.6,0.0,1.3,0.39,0.9,34,6.5,7.1
8478874,Adam Gaudette,SJS,F,29.3,9,False,0.37,0.8,10,0.6,0.0,3.2,0.49,0.64,30,1.2,1.8
8475842,Sam Carrick,BUF,F,34.0,12,False,0.24,0.87,5,0.6,0.0,1.9,0.43,0.62,35,0.3,0.9
8476456,Jonathan Huberdeau,CGY,F,32.7,14,False,-0.09,0.97,5,0.5,0.0,1.2,0.33,0.75,34,26.0,26.4
8474141,Patrick Kane,DET,F,37.2,18,False,0.96,1.05,3,0.5,0.0,1.1,0.41,0.74,38,36.0,36.5
8480829,Jesperi Kotkaniemi,CAR,F,25.6,8,False,0.08,0.56,10,0.5,0.0,2.2,0.3,0.5,27,5.1,5.6
8474189,Lars Eller,OTT,F,36.7,17,False,0.29,1.09,3,0.5,0.0,1.1,0.43,0.77,38,19.2,19.7
8479496,David Rittich,NYI,G,33.5,10,False,1.08,0.99,10,0.5,0.0,4.1,0.26,0.87,34,3.2,3.7
8476432,Boone Jenner,CBJ,F,32.6,13,False,1.26,1.02,5,0.5,0.0,1.2,0.35,0.79,34,12.0,12.6
8482159,Tyson Foerster,PHI,F,24.0,4,False,-0.4,0.44,9,0.5,0.0,1.3,0.2,0.48,25,1.9,2.4
8480434,Sean Durzi,UTA,D,27.3,5,False,0.47,0.62,12,0.5,0.0,2.9,0.34,0.55,28,3.8,4.3
8484164,Dalibor Dvorsky,STL,F,20.6,2,False,-0.45,-0.22,15,0.5,0.0,3.1,0.01,0.35,25,-0.5,-0.0
8478472,Mathieu Joseph,LAK,F,29.0,8,False,0.25,0.75,8,0.5,0.0,1.8,0.34,0.6,30,4.8,5.3
8478468,Jeremy Lauzon,VGK,D,28.8,8,False,0.98,0.7,10,0.4,0.0,2.5,0.32,0.55,30,1.7,2.1
8476393,Nick Cousins,OTT,F,32.5,12,False,1.05,0.77,6,0.4,0.0,2.0,0.39,0.55,34,6.8,7.2
8481789,Tye Kartye,NYR,F,24.8,3,False,0.33,0.46,11,0.4,0.0,2.2,0.25,0.42,26,1.4,1.8
8475343,Nic Dowd,VGK,F,35.7,11,False,0.65,0.93,3,0.4,0.0,1.1,0.35,0.57,37,4.6,5.0
8478499,Adin Hill,VGK,G,29.7,9,False,-2.02,0.62,13,0.4,0.0,5.3,0.2,0.56,31,3.3,3.6
8477426,Nick Paul,TBL,F,30.9,11,False,-0.04,0.72,6,0.4,0.0,1.4,0.3,0.56,32,6.9,7.3
8476463,Jonas Brodin,MIN,D,32.6,14,False,1.22,0.8,7,0.4,0.0,1.5,0.33,0.61,34,18.5,18.8
8471215,Evgeni Malkin,PIT,F,39.5,18,False,0.95,1.33,3,0.4,0.2,0.6,0.26,1.33,41,32.9,33.3
8475279,Ben Chiarot,DET,D,34.7,13,False,0.51,1.01,7,0.4,0.0,1.5,0.45,0.7,36,7.9,8.3
